task_id,method,variant,dataset_id,output_path,metadata_difference,initial_calls,repair_calls,total_internal_calls,files_complete,prompt_variant_verified,scenario_and_cqs_unchanged,verification_result
a2_050_6fc6ef98d4e4,domain-ontogen,P1,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18/P1/seed_42,prompt_hash differs,5,0,5,true,true,true,verified
a2_051_486af6708c47,domain-ontogen,P1,project2_HospitalS_37f96aff7d,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_HospitalS_37f96aff7d/P1/seed_42,prompt_hash differs,15,0,15,true,true,true,verified
a2_052_e52018b871df,domain-ontogen,P2,project2_12_6b51d431df,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_12_6b51d431df/P2/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_053_8698b8825b28,domain-ontogen,P2,project2_5_ef2d127de3,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_5_ef2d127de3/P2/seed_42,prompt_hash differs,3,0,3,true,true,true,verified
a2_054_5f77ffe0cd9b,domain-ontogen,P2,project2_11_4fc82b26ae,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_11_4fc82b26ae/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_055_2a98b9ed5fa8,domain-ontogen,P2,project2_6_e7f6c01177,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_6_e7f6c01177/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_056_99bf13462e54,domain-ontogen,P2,project2_3_4e07408562,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_3_4e07408562/P2/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_057_2eb40f3326a5,domain-ontogen,P2,project2_4_4b227777d4,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_4_4b227777d4/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_058_3dd7fc6a9a82,domain-ontogen,P2,project2_15_e629fa6598,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_15_e629fa6598/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_059_e11232cd6769,domain-ontogen,P2,project2_2_d4735e3a26,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_2_d4735e3a26/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_060_89e852ad32a2,domain-ontogen,P2,project2_14_8527a891e2,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_14_8527a891e2/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_061_d50d0d0f07ac,domain-ontogen,P2,project2_16_b17ef6d19c,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_16_b17ef6d19c/P2/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_062_dc02d50c6d78,domain-ontogen,P2,project2_1_6b86b273ff,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_1_6b86b273ff/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_063_f7b754022887,domain-ontogen,P2,project2_Sage_1_WHOW_1b070153f1,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sage_1_WHOW_1b070153f1/P2/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_064_a986df09c035,domain-ontogen,P2,project2_MusicS_6f198445eb,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_MusicS_6f198445eb/P2/seed_42,prompt_hash differs,15,0,15,true,true,true,verified
a2_065_4416d55d0baa,domain-ontogen,P2,project2_Sophia_3_Reorchestration_71392573d4,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sophia_3_Reorchestration_71392573d4/P2/seed_42,prompt_hash differs,6,0,6,true,true,true,verified
a2_066_bd46a77a7cb3,domain-ontogen,P2,project2_FestS_76555d3566,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_FestS_76555d3566/P2/seed_42,prompt_hash differs,15,0,15,true,true,true,verified
a2_067_0a7fb1c6d1b5,domain-ontogen,P2,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18/P2/seed_42,prompt_hash differs,5,0,5,true,true,true,verified
a2_068_127983ccb091,domain-ontogen,P2,project2_HospitalS_37f96aff7d,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_HospitalS_37f96aff7d/P2/seed_42,prompt_hash differs,15,0,15,true,true,true,verified
a2_069_14efc373b07a,neon-gpt,P1,project2_12_6b51d431df,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_12_6b51d431df/P1/seed_42,none,1,3,4,true,true,true,verified
a2_070_ac73ca3f728f,neon-gpt,P1,project2_5_ef2d127de3,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_5_ef2d127de3/P1/seed_42,prompt_hash differs,1,2,3,true,true,true,verified
a2_071_61f4b036f4cb,neon-gpt,P1,project2_11_4fc82b26ae,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_11_4fc82b26ae/P1/seed_42,none,1,3,4,true,true,true,verified
a2_072_509f775df583,neon-gpt,P1,project2_6_e7f6c01177,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_6_e7f6c01177/P1/seed_42,prompt_hash differs,1,1,2,true,true,true,verified
a2_073_c9a3c92c3ce4,neon-gpt,P1,project2_3_4e07408562,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_3_4e07408562/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_074_0a0c28a2cd43,neon-gpt,P1,project2_4_4b227777d4,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_4_4b227777d4/P1/seed_42,prompt_hash differs,1,1,2,true,true,true,verified
a2_075_0197471ece86,neon-gpt,P1,project2_15_e629fa6598,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_15_e629fa6598/P1/seed_42,prompt_hash differs,1,1,2,true,true,true,verified
a2_076_98c9e98b25bd,neon-gpt,P1,project2_2_d4735e3a26,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_2_d4735e3a26/P1/seed_42,prompt_hash differs,1,1,2,true,true,true,verified
a2_077_91284f3ffb43,neon-gpt,P1,project2_14_8527a891e2,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_14_8527a891e2/P1/seed_42,prompt_hash differs,1,2,3,true,true,true,verified
a2_078_132218e67f0d,neon-gpt,P1,project2_16_b17ef6d19c,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_16_b17ef6d19c/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_079_12f834912150,neon-gpt,P1,project2_1_6b86b273ff,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_1_6b86b273ff/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_080_a78fbd32e6f3,neon-gpt,P1,project2_Sage_1_WHOW_1b070153f1,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sage_1_WHOW_1b070153f1/P1/seed_42,prompt_hash differs,1,1,2,true,true,true,verified
a2_081_0dcb92aee767,neon-gpt,P1,project2_MusicS_6f198445eb,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_MusicS_6f198445eb/P1/seed_42,prompt_hash differs,1,2,3,true,true,true,verified
a2_082_8239bf8ff286,neon-gpt,P1,project2_Sophia_3_Reorchestration_71392573d4,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sophia_3_Reorchestration_71392573d4/P1/seed_42,none,1,3,4,true,true,true,verified
a2_083_19654ef9beda,neon-gpt,P1,project2_FestS_76555d3566,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_FestS_76555d3566/P1/seed_42,none,1,3,4,true,true,true,verified
a2_084_74043af13b92,neon-gpt,P1,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18/P1/seed_42,prompt_hash differs,1,1,2,true,true,true,verified
a2_085_1dd7d678cf11,neon-gpt,P1,project2_HospitalS_37f96aff7d,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_HospitalS_37f96aff7d/P1/seed_42,none,1,3,4,true,true,true,verified
a2_086_5adbfcd25510,neon-gpt,P2,project2_12_6b51d431df,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_12_6b51d431df/P2/seed_42,prompt_hash differs,1,2,3,true,true,true,verified
a2_087_ace4457e0b38,neon-gpt,P2,project2_5_ef2d127de3,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_5_ef2d127de3/P2/seed_42,prompt_hash differs,1,2,3,true,true,true,verified
a2_088_bbf0454aa97e,neon-gpt,P2,project2_11_4fc82b26ae,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_11_4fc82b26ae/P2/seed_42,none,1,3,4,true,true,true,verified
a2_089_3c253bec83d5,neon-gpt,P2,project2_6_e7f6c01177,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_6_e7f6c01177/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_090_cf9ad3880aee,neon-gpt,P2,project2_3_4e07408562,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_3_4e07408562/P2/seed_42,none,1,3,4,true,true,true,verified
a2_091_aa7922d20db3,neon-gpt,P2,project2_4_4b227777d4,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_4_4b227777d4/P2/seed_42,prompt_hash differs,1,1,2,true,true,true,verified
a2_092_5ec2d7c1b11b,neon-gpt,P2,project2_15_e629fa6598,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_15_e629fa6598/P2/seed_42,prompt_hash differs,1,2,3,true,true,true,verified
a2_093_03fc791a0b1c,neon-gpt,P2,project2_2_d4735e3a26,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_2_d4735e3a26/P2/seed_42,none,1,3,4,true,true,true,verified
a2_094_72e3b0e450fe,neon-gpt,P2,project2_14_8527a891e2,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_14_8527a891e2/P2/seed_42,prompt_hash differs,1,2,3,true,true,true,verified
a2_095_0574e819d5b8,neon-gpt,P2,project2_16_b17ef6d19c,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_16_b17ef6d19c/P2/seed_42,prompt_hash differs,1,2,3,true,true,true,verified
a2_096_ade0e39c78e4,neon-gpt,P2,project2_1_6b86b273ff,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_1_6b86b273ff/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_097_e6435aa6a312,neon-gpt,P2,project2_Sage_1_WHOW_1b070153f1,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sage_1_WHOW_1b070153f1/P2/seed_42,prompt_hash differs,1,2,3,true,true,true,verified
a2_098_9c5985f74800,neon-gpt,P2,project2_MusicS_6f198445eb,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_MusicS_6f198445eb/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_099_08f433cd40dd,neon-gpt,P2,project2_Sophia_3_Reorchestration_71392573d4,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sophia_3_Reorchestration_71392573d4/P2/seed_42,prompt_hash differs,1,2,3,true,true,true,verified
a2_100_e6c103545c73,neon-gpt,P2,project2_FestS_76555d3566,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_FestS_76555d3566/P2/seed_42,prompt_hash differs,1,1,2,true,true,true,verified
a2_101_8a79461a9d61,neon-gpt,P2,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_102_1859e057d85b,neon-gpt,P2,project2_HospitalS_37f96aff7d,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_HospitalS_37f96aff7d/P2/seed_42,prompt_hash differs,1,1,2,true,true,true,verified
